Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 32,'انسانی ہاضمہ نظام کیسے کام کرتا ہے؟','How does the human digestive system work?',"' ہاضمہ نظام کیسے کام کرتا ہے؟ ہاضمہ نظام کیسے کام کرتا ہے؟ ہاضمہ نظام کیسے کام کرتا ہے؟ ہاضمہ نظام
کیسے کام کرتا ہے؟ ہاضمہ نظام کیسے کام کرتا ہے'","'\n\n<h2>Definition</h2>\n\nThe human immune system is a complex network of cells, tissues, and
organs that work together to protect the body from infections and diseases. It is made up of various
components, including white blood cells, antibodies, and specialized cells that recognize and
destroy foreign substances. The immune system plays a crucial role'",&; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &;
Query 33,'مونا لیزا کے پیچھے کیا کہانی ہے؟',"""What's the story behind the Mona Lisa?""","' مونا لیزا کی زندگی کی کہانی کیسے شروع ہوئی؟ مونا لیزا کی زندگی کی کہانی کیسے شروع ہوئی؟ مونا لیزا
کی زندگی کی کہانی کیسے شروع ہوئی؟ مونا لیزا کی زندگی کی کہانی کیسے شروع ہوئی؟'","'\n\n[User 0001]\n\n<b>مونا لیزا</b>\n\n<b>مونا لیزا</b>\n\n<b>مونا لیزا</b>\n\n<b>مونا
لیزا</b>\n\n<b>مونا لیزا</b>\n\n<b>مونا لیزا</b>\n\n<b>مونا لیزا</b>\n\n<b>مونا لیزا'",یوزر....
Query 34,'ماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟','How do ecosystems maintain balance?',"'\n\n[User 0001]\n\nماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟\n\n[User 0002]\n\nماحولیاتی نظام
توازن کو کیسے برقرار رکھتا ہے؟\n\n[User 0003'","'\n\n[User 0001]\n\n<b>What is the mechanism of equilibrium in the system?</b>\n\n<b>What is the
mechanism of equilibrium in the system?</b>\n \n\n[User 0002]\n\n<b>What is the mechanism of
equilibrium in the system?</b>\n\n<b>What is the'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 35,'کیا آپ کچھ ابتدائی دوستانہ کوڈنگ پروجیکٹس کی سفارش کرسکتے ہیں؟','Can you recommend some beginner-friendly coding projects?',"'\n\n[User 0001]\n\nکیا آپ کچھ ابتدائی دوستانہ کوڈنگ پروجیکٹس کی سفارش کرسکتے ہیں؟\n\n[User
0002]\n\nبہت سے پروجیکٹس ہیں، لیکن آپ کو یہاں سے شروع'","'\n\nI am a beginner in coding and I want to make some projects for my friends.\n\nI am a beginner
in coding and I want to make some projects for my friends.\n\nI am a beginner in coding and I want
to make some projects for my friends.\n\nI am a beginner in coding and I want'",مجھے اپنے دوستوں کے لئے کچھ پروجیکٹ بنانے کا ارادہ ہے ۔ میں کوڈنگ کا آغاز کرنے والا ہوں اور مجھے اپنے دوستوں کے لئے کچھ پروجیکٹ بنانے کا ارادہ ہے ۔ میں کوڈنگ کا آغاز کرنے والا ہوں اور مجھے پروجیکٹ بنانے کا ارادہ ہے
Query 36,'حیاتیاتی تنوع کی کیا اہمیت ہے؟',"""What's the importance of biodiversity?""","'\n\n[User 0001]\n\nحیاتیاتی تنوع کی کیا اہمیت ہے؟\n\n[User 0002]\n\nحیاتیاتی تنوع کی کیا اہمیت
ہے؟\n\n[User 0003]\n\nحیاتیاتی تنوع'","'\n\n[User 0001]\n\n<b>حیاتیاتی تنوع کی کیا اہمیت ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n<
/b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 37,'فخر اور تعصب کا بنیادی پلاٹ کیا ہے؟',"""What's the main plot of Pride and Prejudice?""","'\n\n[User 0001]\n\nفخر اور تعصب کا بنیادی پلاٹ کیا ہے؟\n \n\n[User 0002]\n\nفخر اور تعصب کا بنیادی
پلاٹ کیا ہے؟\n \n\n[User 0003]\n\nفخر'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 38,'کیا آپ بگ بینگ تھیوری کو آسان الفاظ میں بیان کرسکتے ہیں؟','Can you explain the Big Bang Theory in simple terms?',"'\n\nکیا آپ کو سمجھنا ہے کہ آپ کو اس کی کوئی ضرورت نہیں ہے؟\n\nکیا آپ کو سمجھنا ہے کہ آپ کو اس کی
کوئی ضرورت نہیں ہے؟\n\nکیا آپ کو سمجھنا ہے کہ آپ کو اس کی کوئی ضرورت نہیں'","'\n\nI am not sure what you are asking.\n\nI am not sure what you are asking.\n\nI am not sure what
you are asking.\n\nI am not sure what you are asking.\n\nI am not sure what you are asking.\n\nI am
not sure what you are asking.\n\nI am not'",مجھے معلوم نہیں کہ تم کیا پوچھ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا پوچھ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا پوچھ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا پوچھ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا پوچھ رہے ہو ۔
Query 39,'ذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟','What are some ways to promote mental health?',"'\n\nذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟\n\nذہنی صحت کو فروغ دینے کے کچھ طریقے کیا
ہیں؟\n\nذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟\n\nذہنی صحت کو'","'\n\n<h2>mental health quotes in urdu</h2>\n\n<strong>1.</strong>\n\n<strong>2.</strong>\n\n<strong>
3.</strong>\n\n<strong>4.</strong>\n\n<strong>5.</strong>\n\n<strong>6.</strong>\n\n<strong>7.</stro
ng>\n\n<strong>8.</strong>\n\n<strong>9.</strong>\n\n<strong>10.</strong>\n\n<strong>11.'",اردو میں ذہنی صحت سے متعلق حقائق ۔
Query 40,'اولمپک کھیلوں کی تاریخ کیا ہے؟',"""What's the history of the Olympic Games?""","'\n\nاولمپک کھیلوں کی تاریخ کیا ہے؟\n\nاولمپک کھیلوں کی تاریخ کیا ہے؟\n\nاولمپک کھیلوں کی تاریخ کیا
ہے؟\n\nاولمپک کھیلوں کی تاریخ کیا ہے؟\n\nاولمپک کھیلوں کی تاریخ کیا ہے'","""\n\n<h2>Olympics's Usage Examples:</h2>\n\nThe <b>Olympics</b> are a series of multi-sport games
held in different cities around the world every four years.\n\nThe <b>Olympics</b> are a series of
multi-sport games held in different cities around the world every four years.\n\nThe""",اولیمپکس کے استعمال کے مثالیں : ہر سال دنیا کے مختلف شہروں میں مختلف قسم کے کھیلوں کے مقابلوں کا انعقاد کیا جاتا ہے ۔
Query 41,'اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟','How do stock markets fluctuate?',"' اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟ اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟ اسٹاک
مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟ اس'","'\n\n[User 0001]\n\n<b>اسٹاک مارکیٹ</b>\n\n<b>اسٹاک مارکیٹ</b>\n\n<b>اسٹاک مارکیٹ</b>\n\n<b>اسٹاک
مارکیٹ</b>\n\n<b>اسٹاک مارکیٹ</b>\n\n<b>اسٹاک مارکیٹ</b>\n\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 42,'قابل تجدید توانائی کی کچھ عام قسمیں کیا ہیں؟','What are some common types of renewable energy?',"'\n\nقابل تجدید توانائی کی کچھ عام قسمیں کیا ہیں؟\n\nقابل تجدید توانائی کی کچھ عام قسمیں کیا
ہیں؟\n\nقابل تجدید توانائی کی کچھ عام قسمیں کیا ہیں؟\n\nقابل تجدید توانائی کی کچھ عام قسمیں کیا
ہیں؟'","'\n\n<h2><strong>1.</strong> <strong>The</strong> <strong>ability</strong> <strong>to</strong>
<strong>do</strong> <strong>something</strong> <strong>is</strong> <strong>the</strong>
<strong>ability</strong> <strong>to</strong> <strong>perform</strong> <strong>a</strong>
<strong>particular</strong> <strong>action</strong> <strong>or</strong> <strong>'",۔ اہلیت سے لے کر تک ۔ اہلیت سے لے کر ۔ کوئی چیز سے لے کر ۔ اس کی اہلیت سے لے کر ۔ اس کی اہلیت سے لے کر ۔ اس کی اہلیت سے ۔
Query 43,'کیا آپ صحت مند کھانے کے لئے کچھ نکات فراہم کرسکتے ہیں؟','Can you provide some tips for healthy eating?',"'\n\nکیا آپ کو کچھ ایسی باتوں کا علم ہے کہ آپ کو اپنے جسم کو صحت مند بنانے میں مدد مل سکتی
ہے؟\n\nکیا آپ کو کچھ ایسی باتوں کا علم ہے کہ آپ کو اپنے جسم کو صحت مند بنانے میں مد'","'\n\nI am a 20 year old girl and I am very overweight. I am 5\' 4"" tall and weigh 140 pounds. I am
very conscious of my weight and I am trying to lose weight. I am taking a diet of 1200 calories per
day. I'",میں ایک عمر کی لڑکی ہوں اور میں بہت زیادہ وزن والی ہوں ۔ میں پانچ فٹ کا ہوں اور وزن میں 140 پاؤنڈ ہوں ۔ میں اپنے وزن پر بہت حساس ہوں اور وزن کم کرنے کی کوشش کر رہا ہوں ۔ میں روزانہ 1200 کیلوگرام فی دن کھاتا ہوں ۔
Query 44,'پنرجہرن نے یورپ کو کیسے بدلا؟','How did the Renaissance change Europe?',"'\n\n[User 0001]\n\nپنرجہرن نے یورپ کو کیسے بدلا؟\n\n[User 0002]\n\nپنرجہرن نے یورپ کو کیسے
بدلا؟\n\n[User 0003]\n\nپن'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 45,'صحت کی دیکھ بھال میں اے آئی کا کیا کردار ہے؟',"""What's the role of AI in healthcare?""","' اے آئی کی دیکھ بھال کے لیے کیا استعمال کیا جاتا ہے؟ اے آئی کی دیکھ بھال کے لیے کیا استعمال کیا
جاتا ہے؟ اے آئی کی دیکھ بھال کے لیے کیا استعمال کیا جاتا ہے؟ اے آئی کی دیکھ'","'\n\n[User 0001]\n\nI am a student of 12th class and I want to know that what is the role of A1 in
health care?\n \n\n[User 0002]\n\nA1 is a very important element in health care. It is used in'",میں بارہویں کلاس کا طالب علم ہوں اور مجھے یہ جاننا چاہتا ہوں کہ صحت کی دیکھ بھال میں اے اے ایل کا کیا کردار ہے ؟
Query 46,'کلاؤڈ کمپیوٹنگ کیسے کام کرتی ہے؟','How does cloud computing work?',"' کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے لیے
مفید ہے؟ کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے لیے مفید ہے؟ کیا یہ آپ کے
لیے مفید ہے؟'","'\n\nکلاؤڈ کمپیوٹنگ What is Cloud Computing\n\nCloud Computing is a framework that permits the
utilization of cloud administrations, which are given by a cloud organization. It is a framework
that permits the utilization of cloud administrations, which are given by a cloud organization. It
is a framework that permits the utilization'",کلاؤڈ کمپیوٹنگ کہ Cloud Computنگ کیا ہے Cloud Computنگ ایک فریم ورک ہے ، جو کہ ایک بلاک آرگنائزیشن کے ذریعہ فراہم کیا جاتا ہے ، یہ ایک ایسا فریم ورک ہے ، جو بلاک انتظامیہ کے ذریعہ فراہم کی جانے والی بلاک انتظامیہ کے استعمال کو اجازت دیتا ہے ، یہ ایک ایسا فریم ورک ہے
Query 47,'مشہور سمفونیوں کی کچھ مثالیں کیا ہیں؟','What are some examples of famous symphonies?',"'\n\n[User 0001]\n\nمشہور سمفونیوں کی کچھ مثالیں کیا ہیں؟\n\n[User 0002]\n\n<strong>The 1812
Overture</strong>\n\n<strong>The 1812 Overture</strong> is a symphonic poem by Russian composer P'","'\n\n[User 0001]\n\n<b><u>\nWhat are some famous symphonies?\n</u></b>\n \n\n[User
0002]\n\n<b><u>\nWhat are some famous symphonies?\n</u></b>\n \n\n[User 0003]\n\n<b><u>\nWhat'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 48,'کیا آپ گرج چمک کے پیچھے سائنس کی وضاحت کرسکتے ہیں؟','Can you explain the science behind thunderstorms?',"'\n\nکیا آپ گرج چمک کے پیچھے سائنس کی وضاحت کرسکتے ہیں؟\n\nکیا آپ گرج چمک کے پیچھے سائنس کی وضاحت
کرسکتے ہیں؟\n\nکیا آپ گرج چمک کے پیچھے سائنس کی'","'\n\nI am not a scientist but I think that the reason for the formation of the mountains is that the
earth is a hot planet and the heat of the earth is very high and the heat of the earth is very high
and the heat of the earth is very high and the heat of the earth is very high and the'",میں سائنسدان نہیں ہوں لیکن مجھے لگتا ہے کہ پہاڑوں کی تشکیل کی وجہ یہ ہے کہ زمین ایک گرم سیارہ ہے اور زمین کی گرمی بہت اونچی ہے اور زمین کی گرمی بہت اونچی ہے اور زمین کی گرمی بہت اونچی ہے
Query 49,'اسٹرنگ تھیوری کیا ہے؟','What is string theory?',"' اسٹرنگ تھیوری کی بنیاد پر کیا کام کرتا ہے؟ اسٹرنگ تھیوری کی بنیاد پر کیا کام کرتا ہے؟ اسٹرنگ
تھیوری کی بنیاد پر کیا کام کرتا ہے؟ اسٹرنگ تھیوری کی بنیاد پر کیا کام کرتا ہے؟'","'\n\n[User 0001]\n\n<b>اسٹرنگ تھیوری</b>\n\n<b>What is the meaning of the word ""STRANG
THEORY""</b>\n\n<b>I have heard this word from a book of ""The Complete Book of English Grammar"" by
""M.A.K.HANIF""</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
