Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 31,'اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟','What are the basics of good graphic design?',' اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\nاچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\nاچھ�',"' What are the basic things of good graphic design?\nGraphic design is a very important part of the
world. It is a very important part of the world. It is a very important part of the world. It is a
very important part of the world. It is a very important part of the world. It is a'",اچھی گرافک ڈیولپمنٹ کی بنیادی چیزیں کیا ہیں ؟ گرافیک ڈیولپمنٹ دنیا کا ایک بہت ہی اہم حصہ ہے ، دنیا کا ایک بہت ہی اہم حصہ ہے ، دنیا کا ایک بہت ہی اہم حصہ ہے ، دنیا کا ایک بہت ہی اہم حصہ ہے ، دنیا کا ایک بہت ہی اہم حصہ ہے ۔
Query 32,'انسانی ہاضمہ نظام کیسے کام کرتا ہے؟','How does the human digestive system work?',"' (Human Digestive System)\nHuman digestive system is a complex system that breaks down food into
nutrients that the body can use. The digestive system is made up of the mouth, esophagus, stomach,
small intestine, large intestine, and anus. The digestive system is responsible for breaking down
food into smaller pieces so that'","' (How does the human digestive system work?)\nThe human digestive system is a complex system that
breaks down food into nutrients that the body can use. The digestive system consists of the mouth,
esophagus, stomach, small intestine, large intestine, and anus. The digestive system is responsible
for breaking down food into smaller particles'",(انسانی ڈبہ کاری کا نظام کیا کام کرتا ہے ؟ ) انسان کا ڈبہ کاری ایک الگ الگ نظام ہے ، جس میں خوراک کو ایسے مواد سے تبدیل کر دیا جاتا ہے ، جسے جسم استعمال کر سکتا ہے ۔ اس کا نظام مخنث منہ ، اسلافگ ، پیٹ ، چھوٹی ایکٹیٹین ، بڑی ایکٹیٹین اور اوندھے پر مشتمل ہے ۔ اس کا کردار کھانے کو چھوٹے سے چھوٹے حصہوں میں تبدیل کرنے کا ہے ۔
Query 33,'مونا لیزا کے پیچھے کیا کہانی ہے؟',"""What's the story behind the Mona Lisa?""",' مونا لیزا کے پیچھے کیا کہانی ہے؟\nمونا لیزا کے پیچھے کیا کہانی ہے؟ مونا لیزا کے پیچھے کیا ک�',"' What is the story behind Mona Lisa?\nThe Mona Lisa is one of the most famous paintings in the
world. It is a portrait of a woman, and it is believed to be a self-portrait of the artist, Leonardo
da Vinci. The painting is said to be a masterpiece of Renaissance art, and it is one'",Mona Lisa کی کہانی کیا ہے ؟ Mona Lisa دنیا بھر میں سب سے زیادہ مشہور پینٹنگز میں سے ایک ہے ۔ یہ ایک عورت کا تصویر ہے ، اور اس کا تعلق فنکار Leonardo da Vinci کی ذاتی تصویر سے ہے ۔ یہ پینٹنگ Renaissance آرٹ کی ایک عظیم کاری ہے ، اور یہ ایک عظیم کار ہے ۔
Query 34,'ماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟','How do ecosystems maintain balance?',"' (چھوٹا سا سوال)\nماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟ (چھوٹا سا سوال)\nماحولیاتی نظام
توازن کو کیسے برقرار رکھتا'","' (A) The environment is maintained by the balance of the ecosystem. (B) The environment is
maintained by the balance of the ecosystem. (C) The environment is maintained by the balance of the
ecosystem. (D) The environment is maintained by the balance of the ecosystem.\nThe environment is
maintained by the balance of'",ماحولیات کو ماحولیاتی نظام میں پائیداری حاصل ہوتی ہے ۔ ماحولیاتی نظام کو پائیداری حاصل ہوتی ہے ۔ ماحولیاتی نظام کو پائیداری حاصل ہوتی ہے ۔ ماحولیاتی نظام کو پائیداری حاصل ہوتی ہے ۔ ماحول کو پائیداری حاصل ہوتی ہے ۔ ماحول کو پائیداری حاصل ہوتی ہے ۔
Query 35,'کیا آپ کچھ ابتدائی دوستانہ کوڈنگ پروجیکٹس کی سفارش کرسکتے ہیں؟','Can you recommend some beginner-friendly coding projects?',"'\n\nہم آپ کو ایک ایسا پروجیکٹ پیش کرتے ہیں جس کے ذریعے آپ اپنے دوستانہ کوڈنگ پروجیکٹس کو بہتر
بناسکتے'","' I want to share some of my first coding projects with my friends. What do you suggest?\nI want to
share some of my first coding projects with my friends. What do you suggest?\nI want to share some
of my first coding projects with my friends. What do you suggest?\nI want to share some of my'",میں اپنے پہلے کوڈنگ پروجیکٹس اپنے دوستوں کے ساتھ شیئر کرنا چاہتا ہوں ۔ آپ کیا مشورہ دیتے ہیں ؟ میں اپنے پہلے کوڈنگ پروجیکٹس اپنے دوستوں کے ساتھ شیئر کرنا چاہتا ہوں ، آپ کیا مشورہ دیتے ہیں ؟ میں اپنے پہلے کوڈنگ پروجیکٹس اپنے دوستوں کے ساتھ شیئر کرنا چاہتا ہوں ، آپ کیا مشورہ دیتے ہیں ؟ میں اپنے پہلے کوڈنگ پروجیکٹس
Query 36,'حیاتیاتی تنوع کی کیا اہمیت ہے؟',"""What's the importance of biodiversity?""","' | What is the importance of biological diversity?\nحیاتیاتی تنوع کی کیا اہمیت ہے؟ | What is the
importance of biological diversity?\nحیاتیاتی تنوع کی کیا اہمیت ہے؟ | What is the importance of
biological diversity'","' What is the importance of biological diversity?\nThe importance of biological diversity is that it
provides a variety of food and shelter to the living beings. It also provides a variety of medicines
to the living beings. It also provides a variety of raw materials to the living beings. It also
provides a variety of raw materials to the living'",حیاتیاتی تنوع کی اہمیت کیا ہے ؟ حیاتیاتی تنوع کی اہمیت یہ ہے کہ یہ حیاتیاتی تنوع کو خوراک اور پناہ گاہ فراہم کرتا ہے ، یہ حیاتیاتی تنوع کو ادویات بھی فراہم کرتا ہے ، یہ حیاتیاتی تنوع کو خام مواد بھی فراہم کرتا ہے ،
Query 37,'فخر اور تعصب کا بنیادی پلاٹ کیا ہے؟',"""What's the main plot of Pride and Prejudice?""","' (پہلا حصہ)\nفخر اور تعصب کا بنیادی پلاٹ کیا ہے؟ (پہلا حصہ)\nفخر اور تعصب کا بنیادی پلاٹ کیا ہے؟
(پہ'","' (Part 2)\nIn the previous post, I discussed the basic plot of pride and prejudice. In this post, I
will discuss the basic plot of prejudice and prejudice. The basic plot of prejudice and prejudice is
that the protagonist is a person who is prejudiced against a particular group of people. The
protagonist is usually'",(پہلا حصہ ) گزشتہ پوسٹ میں میں فخر اور نفرت کی بنیادی کہانی پر تبادلہ خیال کیا گیا تھا ۔ اس پوسٹ میں میں نفرت اور نفرت کی بنیادی کہانی پر تبادلہ خیال کیا جائے گا ۔
Query 38,'کیا آپ بگ بینگ تھیوری کو آسان الفاظ میں بیان کرسکتے ہیں؟','Can you explain the Big Bang Theory in simple terms?',"' آپ کے خیال میں اس تھیوری کے بارے میں کیا کیا کہا جاتا ہے؟\nBing Theory is a theory that states
that the universe is made up of a single, infinite, and eternal entity called'","' What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang Theory in
English? What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang Theory
in English? What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang
Theory in'",انگریزی میں Big Bang theory کا کیا معنی ہے ؟ انگریزی میں Big Bang theory کا کیا معنی ؟ انگریزی میں Big Bang theory کا کیا معنی ؟
Query 39,'ذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟','What are some ways to promote mental health?',"' - Mental Health\nذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟\nMental health is a state of well-
being in which an individual realizes his or her own abilities, can cope with the normal stresses of
life, can'","' How to promote mental health?\nMental health is a state of well-being in which an individual
realizes his or her own abilities, can cope with the normal stresses of life, can work productively
and is able to make a contribution to his or her community. Mental health is a state of complete
physical, mental and social'",دماغی صحت کو فروغ دینا کیا ہے ؟ دماغی صحت ایک ایسی حالت کی ہے جس میں کوئی شخص اپنی صلاحیتوں کو تسلیم کر لے ، زندگی کے معمول کے دباؤ سے نمٹ سکتا ہے ، محنتی طریقے سے کام کر سکتا ہے اور اپنی برادری میں تعاون کر سکتا ہے ۔ دماغی صحت مکمل جسمانی ، دماغی اور سماجی صحت کی حیثیت رکھتی ہے ۔
Query 40,'اولمپک کھیلوں کی تاریخ کیا ہے؟',"""What's the history of the Olympic Games?""",' کون سے ملک نے پہلی بار اولمپک کھیلوں میں حصہ لیا؟ کون سے ملک نے پہلی بار اولمپک کھیلوں میں طلائی',"' What is the history of the Olympic Games?\nThe first modern Olympic Games were held in Athens,
Greece, in 1896. The Games were created by Pierre de Coubertin, a French educator and historian, who
wanted to revive the ancient Olympic Games. The Games were originally intended to be held every four
years'",نئی دہلی ، ؍ اکتوبر ، پہلے جدید اولمپکس 1896 میں ایتھنس میں منعقد ہوئے تھے ۔ یہ اولمپکس تھے جو ایک فرانسیسی ماہر تعلیم اور مورخ Pierre de Cobertین نے پیدا کئے تھے ، جو قدیم اولمپکس کو بحال کرنا چاہتے تھے ۔ یہ اولمپکس سال میں منعقد کئے جانے کا ارادہ تھا ۔
Query 41,'اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟','How do stock markets fluctuate?',' اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟ اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا',"' What is the cause of the rise in stock markets?\nThe stock market is a place where people buy and
sell shares of companies. The stock market is a place where people buy and sell shares of companies.
The stock market is a place where people buy and sell shares of companies. The stock market is a
place where people'",اسٹاک مارکیٹ میں اضافے کا سبب کیا ہے ؟ اسٹاک مارکیٹ ایک ایسی جگہ ہے جہاں لوگ کمپنیوں کے حصص خریدتے اور فروخت کرتے ہیں ۔ اسٹاک مارکیٹ ایک ایسی جگہ ہے جہاں لوگ کمپنیوں کے حصص خریدتے اور فروخت کرتے ہیں ۔ اسٹاک مارکیٹ ایک ایسی جگہ ہے جہاں لوگ
